"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","535.45","539.65","542.10","530.20","8.15M","-0.77%"
"Jun 10, 2021","539.60","548.25","551.70","535.65","13.98M","-1.58%"
"Jun 09, 2021","548.25","552.65","553.40","546.00","7.31M","-0.36%"
"Jun 08, 2021","550.25","551.00","552.25","544.60","8.28M","-0.24%"
"Jun 07, 2021","551.55","554.20","557.50","547.90","7.11M","-0.88%"
"Jun 04, 2021","556.45","560.50","563.25","554.05","8.57M","-0.54%"
"Jun 03, 2021","559.45","555.45","561.90","540.10","15.17M","1.35%"
"Jun 02, 2021","552.00","545.95","552.45","541.60","8.90M","1.47%"
"Jun 01, 2021","544.00","535.20","547.65","533.85","9.96M","2.37%"
"May 31, 2021","531.40","525.90","531.65","524.00","2.58M","1.54%"
"May 28, 2021","523.35","523.15","525.60","521.00","2.88M","-0.35%"
"May 27, 2021","525.20","523.00","525.20","519.80","4.33M","-0.12%"
"May 26, 2021","525.85","526.30","532.20","522.20","3.75M","0.29%"
"May 25, 2021","524.35","525.50","530.45","523.20","3.54M","0.08%"
"May 24, 2021","523.95","526.80","531.40","519.30","3.16M","-0.30%"
"May 21, 2021","525.55","516.80","528.55","515.30","5.37M","1.59%"
"May 20, 2021","517.35","529.50","529.85","514.30","6.59M","-2.29%"
"May 19, 2021","529.50","539.70","539.70","526.35","4.95M","-2.03%"
"May 18, 2021","540.45","546.25","551.00","538.35","5.98M","-0.93%"
"May 17, 2021","545.55","546.95","546.95","535.90","3.86M","-0.02%"
"May 14, 2021","545.65","552.00","553.70","541.20","4.10M","-0.79%"
"May 13, 2021","550.00","540.50","552.00","539.50","6.45M","1.44%"
"May 12, 2021","542.20","532.90","551.30","529.85","8.52M","1.92%"
"May 11, 2021","532.00","540.00","541.60","528.60","5.23M","-1.84%"
"May 10, 2021","541.95","537.45","547.50","533.55","5.10M","1.07%"
"May 07, 2021","536.20","540.00","541.65","533.25","3.17M","-0.44%"
"May 06, 2021","538.55","540.50","542.80","534.20","4.54M","-0.02%"
"May 05, 2021","538.65","540.00","546.80","537.05","6.09M","0.28%"
"May 04, 2021","537.15","526.90","538.15","526.30","5.11M","2.28%"
"Apr 30, 2021","525.20","528.00","529.70","521.55","5.13M","-0.67%"
"Apr 29, 2021","528.75","530.00","536.10","526.05","6.34M","0.15%"
"Apr 28, 2021","527.95","529.00","529.75","522.10","4.58M","-0.01%"
"Apr 27, 2021","528.00","531.00","533.70","524.50","4.25M","-0.49%"
